   AX      BX      NX      EX     EPX    Element    DX     DPX    DY     DPY      AY      BY      NY      EY     EPY     DetR     #
 -.65530 5.96369  .62890 -.01643 -.00308  MKQCTR.7 -6.E-4 1.6E-4 2.3E-4 -2.E-6  2.18891 25.1012  .54494 -.01071 6.70E-4 -1.E-5  121
 -.65543 5.96369  .62890 -.01643 -.00308  LL139    -6.E-4 1.6E-4 2.3E-4 -2.E-6  2.18948 25.1012  .54494 -.01071 6.71E-4 -1.E-5  122
 -.75482 6.54838  .63946 -.01777 -.00308  ZSV00703 -6.E-4 1.6E-4 2.3E-4 -2.E-6  2.09378 23.3254  .54767 -.01043 6.71E-4 -1.E-5  123
 -.76453 6.60991  .64044 -.01790 -.00308  MOV.6    -6.E-4 1.6E-4 2.3E-4 -2.E-6  2.08443 23.1561  .54795 -.01041 6.71E-4 -1.E-5  124
 -.80276 6.85989  .64421 -.01842 -.00308  LL0.13   -5.E-4 1.6E-4 2.3E-4 -2.E-6  2.04762 22.4971  .54906 -.01030 6.71E-4 -1.E-5  125
 -1.1863 10.0424  .67509 -.02359 -.00308  SPC.11   -3.E-4 1.6E-4 2.3E-4 -2.E-6  1.67831 16.5356  .56228 -.00922 6.70E-4 -1.E-5  126
 -1.1863 10.0424  .67509 -.02359 -.00308  LL0.14   -3.E-4 1.6E-4 2.3E-4 -2.E-6  1.67831 16.5356  .56228 -.00922 6.70E-4 -1.E-5  127
 -1.5698 14.4522  .69629 -.02877 -.00308  SPC.12   -3.E-5 1.6E-4 2.2E-4 -2.E-6  1.30900 11.7559  .58058 -.00815 6.70E-4 -1.E-5  128
 -1.5698 14.4522  .69629 -.02877 -.00308  LL0.15   -3.E-5 1.6E-4 2.2E-4 -2.E-6  1.30900 11.7559  .58058 -.00815 6.70E-4 -1.E-5  129
 -1.9534 20.0894  .71125 -.03395 -.00308  SPC.13   2.2E-4 1.6E-4 2.2E-4 -2.E-6   .93969 8.15804  .60670 -.00707 6.70E-4 -1.E-5  130
 -1.9534 20.0894  .71125 -.03395 -.00308  LL146    2.2E-4 1.6E-4 2.2E-4 -2.E-6   .93969 8.15804  .60670 -.00707 6.70E-4 -1.E-5  131
 -2.1767 23.9379  .71802 -.03696 -.00308 QFR00802B.1 3.6E-4 1.6E-4 2.2E-4 -2.E-6 .72462 6.60724  .62696 -.00644 6.70E-4 -1.E-5  132
   AX      BX      NX      EX     EPX    Element    DX     DPX    DY     DPY      AY      BY      NY      EY     EPY     DetR     #
 -2.1767 23.9379  .71802 -.03696 -.00308  SPCQ.8   3.6E-4 1.6E-4 2.2E-4 -2.E-6   .72462 6.60724  .62696 -.00644 6.70E-4 -1.E-5  133
 -2.1767 23.9379  .71802 -.03696 -.00308 QFR00802A 3.6E-4 1.6E-4 2.2E-4 -2.E-6   .72462 6.60724  .62696 -.00644 6.70E-4 -1.E-5  134
 2.19476 23.9011  .72947 -.03656  .00375  SPCQE.8  5.9E-4 8.3E-5 2.5E-4 4.2E-5  -.73600 6.62591  .67373 -.00628 -4.5E-4 -1.E-5  135
 2.19476 23.9011  .72947 -.03656  .00375 QFR00802B.2 5.9E-4 8.3E-5 2.5E-4 4.2E-5 -.73600 6.62591 .67373 -.00628 -4.5E-4 -1.E-5  136
 2.19476 23.9011  .72947 -.03656  .00375  MKQCTR.8 5.9E-4 8.3E-5 2.5E-4 4.2E-5  -.73600 6.62591  .67373 -.00628 -4.5E-4 -1.E-5  137
 2.19476 23.9011  .72947 -.03656  .00375  LL156    5.9E-4 8.3E-5 2.5E-4 4.2E-5  -.73600 6.62591  .67373 -.00628 -4.5E-4 -1.E-5  138
 2.09454 22.1348  .73232 -.03505  .00375  ZSH00804 6.2E-4 8.3E-5 2.7E-4 4.2E-5  -.83181 7.27153  .68318 -.00648 -4.5E-4 -1.E-5  139
